Symbol,Date,Open,High,Low,Close,Adj Close,Volume
RELIANCE,27-09-2010,504,509.950012,502.549988,505.100006,435.443329,7527416
RELIANCE,28-09-2010,504.149994,506,496.5,499.25,430.400024,8998180
RELIANCE,29-09-2010,500,504.5,497.5,499.5,430.61554,8133008
RELIANCE,30-09-2010,501,501,489.049988,493.625,425.550812,13249458
RELIANCE,01-10-2010,496,505,495,503.950012,434.451904,8733722
RELIANCE,04-10-2010,507.475006,512.900024,507.475006,508.924988,438.740753,9675038
RELIANCE,05-10-2010,508,515.900024,504.5,511.924988,441.327087,10486932
RELIANCE,06-10-2010,515,523.5,513.474976,522.474976,450.422119,12863604
RELIANCE,07-10-2010,522.474976,527.875,516.25,519.575012,447.922119,14422574
RELIANCE,08-10-2010,523.349976,527.400024,515.275024,524.825012,452.44809,9538932
RELIANCE,11-10-2010,528,536.125,526.549988,534.599976,460.875,11793464
RELIANCE,12-10-2010,534,534.700012,523.075012,527.799988,455.012756,6391130
RELIANCE,13-10-2010,528.049988,537,527.349976,536.525024,462.534576,10957046
RELIANCE,14-10-2010,537.5,540.75,527.099976,529.5,456.478424,11161584
RELIANCE,15-10-2010,530,534,517.799988,520.174988,448.439362,5304032
RELIANCE,18-10-2010,521.125,532.474976,516.625,523.724976,451.499725,10153352
RELIANCE,19-10-2010,532.5,534.349976,519.625,522.200012,450.185089,8493976
RELIANCE,20-10-2010,519.700012,532.200012,519,524.724976,452.361816,8335440
RELIANCE,21-10-2010,526,543.924988,524.599976,540.825012,466.241516,17040028
RELIANCE,22-10-2010,542.724976,546.900024,537.174988,540.900024,466.306274,8972932
RELIANCE,25-10-2010,544,550.950012,543,545.174988,469.991699,8237750
RELIANCE,26-10-2010,545.450012,550.474976,543.549988,549.424988,473.655518,7060562
RELIANCE,27-10-2010,549,555,541.625,546.375,471.026184,10033230
RELIANCE,28-10-2010,549.700012,550.450012,537.299988,541,466.392456,16543946
RELIANCE,29-10-2010,543.849976,553.599976,540.25,548.125,472.534851,13588198
RELIANCE,01-11-2010,560.5,562.450012,544.625,546.599976,471.220123,13947820
RELIANCE,02-11-2010,547.700012,547.700012,535.150024,537.424988,463.310516,9308216
RELIANCE,03-11-2010,541,542.450012,531.325012,532.650024,459.19397,9115894
RELIANCE,04-11-2010,538.950012,553.5,537.5,552.525024,476.328125,11114546
RELIANCE,08-11-2010,556.950012,559.5,550.275024,555.924988,479.259186,10224120
RELIANCE,09-11-2010,556.125,560.25,548.625,554.275024,477.836731,7044960
RELIANCE,10-11-2010,553.349976,558.450012,549.599976,551.099976,475.099579,5439850
RELIANCE,11-11-2010,553,555.900024,538,539.950012,465.487213,5801468
RELIANCE,12-11-2010,540.075012,543.700012,528.5,530.924988,457.706848,8746462
RELIANCE,15-11-2010,533.549988,533.950012,519.099976,527.349976,454.624878,7353490
RELIANCE,16-11-2010,529.5,529.5,513.275024,515.25,444.193542,9067122
RELIANCE,18-11-2010,524.900024,524.900024,507,516.474976,445.249603,10412786
RELIANCE,19-11-2010,518,518,493.549988,498.125,429.430145,11349832
RELIANCE,22-11-2010,501.75,508.225006,498.600006,506.125,436.326965,8666390
